inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm,pts_for_thrty,pts_for_fifty,pts_for_hundy,pts_for_ducky,pts_for_3w,pts_for_4w,pts_for_5w,bow_econ,pts_for_bow_econ,bat_pts,bow_pts,pts_crickpe
1,AT Rayudu,1,12.0,0.0,1.0,1.0,12.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,,0.0,14.0,0.0,14.0
1,BA Stokes,1,7.0,1.0,0.0,1.0,6.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,,0.0,8.0,0.0,8.0
1,DP Conway,1,1.0,0.0,0.0,1.0,6.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,,0.0,1.0,0.0,1.0
1,MJ Santner,1,1.0,0.0,0.0,0.0,3.0,2.0,32.0,24.0,0.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,8.0,0.0,1.0,0.0,1.0
1,MM Ali,1,23.0,4.0,1.0,1.0,16.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,,0.0,29.0,0.0,29.0
1,MS Dhoni,1,14.0,1.0,1.0,0.0,7.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,,0.0,17.0,0.0,17.0
1,RA Jadeja,1,1.0,0.0,0.0,1.0,2.0,2.0,28.0,24.0,1.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,7.0,0.0,1.0,25.0,26.0
1,RD Gaikwad,1,92.0,4.0,9.0,1.0,50.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,4,8,0,0,0,0,0,,0.0,126.0,0.0,126.0
1,S Dube,1,19.0,0.0,1.0,1.0,18.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,,0.0,21.0,0.0,21.0
1,RS Hangargekar,1,,,,,,2.0,32.0,24.0,3.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,4,0,0,8.0,0.0,0.0,79.0,79.0
1,TU Deshpande,1,,,,,,2.0,49.0,20.0,1.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,14.7,0.0,0.0,25.0,25.0
1,DL Chahar,1,,,,,,2.0,29.0,24.0,0.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings,0,0,0,0,0,0,0,7.25,0.0,0.0,0.0,0.0
2,Mohammed Shami,1,,,,,,1.0,28.0,24.0,2.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,0,0,0,0,0,0,0,7.0,0.0,0.0,50.0,50.0
2,J Little,1,,,,,,1.0,41.0,24.0,1.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,0,0,0,0,0,0,0,10.25,0.0,0.0,25.0,25.0
2,AS Joseph,1,,,,,,1.0,33.0,24.0,2.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,0,0,0,0,0,0,0,8.25,0.0,0.0,50.0,50.0
2,R Tewatia,1,15.0,1.0,1.0,0.0,14.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,0,0,0,0,0,0,0,,0.0,18.0,0.0,18.0
2,V Shankar,1,27.0,2.0,1.0,1.0,21.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,0,0,0,0,0,0,0,,0.0,31.0,0.0,31.0
2,Shubman Gill,1,63.0,6.0,3.0,1.0,36.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,4,8,0,0,0,0,0,,0.0,87.0,0.0,87.0
2,Rashid Khan,1,10.0,1.0,1.0,0.0,3.0,1.0,26.0,24.0,2.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,0,0,0,0,0,0,0,6.5,0.0,13.0,50.0,63.0
2,HH Pandya,1,8.0,0.0,0.0,1.0,11.0,1.0,28.0,18.0,0.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,0,0,0,0,0,0,0,9.333333333333334,0.0,8.0,0.0,8.0
2,B Sai Sudharsan,1,22.0,3.0,0.0,1.0,16.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,0,0,0,0,0,0,0,,0.0,25.0,0.0,25.0
2,WP Saha,1,25.0,2.0,2.0,1.0,15.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,0,0,0,0,0,0,0,,0.0,31.0,0.0,31.0
2,Yash Dayal,1,,,,,,1.0,14.0,6.0,0.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans,0,0,0,0,0,0,0,14.0,0.0,0.0,0.0,0.0
1,P Simran Singh,2,23.0,2.0,2.0,1.0,12.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings,0,0,0,0,0,0,0,,0.0,29.0,0.0,29.0
1,RD Chahar,2,,,,,,2.0,12.0,12.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings,0,0,0,0,0,0,0,6.0,0.0,0.0,25.0,25.0
1,R Dhawan,2,,,,,,2.0,15.0,6.0,0.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings,0,0,0,0,0,0,0,15.0,0.0,0.0,0.0,0.0
1,NT Ellis,2,,,,,,2.0,25.0,18.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings,0,0,0,0,0,0,0,8.333333333333334,0.0,0.0,25.0,25.0
1,Harpreet Brar,2,,,,,,2.0,7.0,6.0,0.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings,0,0,0,0,0,0,0,7.0,0.0,0.0,0.0,0.0
1,Arshdeep Singh,2,,,,,,2.0,19.0,18.0,3.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings,0,0,0,0,4,0,0,6.333333333333333,0.0,0.0,79.0,79.0
1,Sikandar Raza,2,16.0,1.0,1.0,1.0,13.0,2.0,24.0,18.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings,0,0,0,0,0,0,0,8.0,0.0,19.0,25.0,44.0
1,SM Curran,2,26.0,0.0,2.0,0.0,17.0,2.0,38.0,18.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings,0,0,0,0,0,0,0,12.666666666666666,0.0,30.0,25.0,55.0
1,JM Sharma,2,21.0,1.0,2.0,1.0,11.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings,0,0,0,0,0,0,0,,0.0,26.0,0.0,26.0
1,M Shahrukh Khan,2,11.0,2.0,0.0,0.0,7.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings,0,0,0,0,0,0,0,,0.0,13.0,0.0,13.0
1,S Dhawan,2,40.0,6.0,0.0,1.0,28.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings,4,0,0,0,0,0,0,,0.0,50.0,0.0,50.0
1,PBB Rajapaksa,2,50.0,5.0,2.0,1.0,32.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings,4,8,0,0,0,0,0,,0.0,71.0,0.0,71.0
2,CV Varun,2,,,,,,1.0,25.0,24.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders,0,0,0,0,0,0,0,6.25,0.0,0.0,25.0,25.0
2,AD Russell,2,35.0,3.0,2.0,1.0,18.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders,4,0,0,0,0,0,0,,0.0,46.0,0.0,46.0
2,VR Iyer,2,34.0,3.0,1.0,1.0,27.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders,4,0,0,0,0,0,0,,0.0,43.0,0.0,43.0
2,SP Narine,2,7.0,0.0,1.0,0.0,2.0,1.0,39.0,24.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders,0,0,0,0,0,0,0,9.75,0.0,9.0,25.0,34.0
2,SN Thakur,2,8.0,0.0,1.0,0.0,3.0,1.0,42.0,24.0,0.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders,0,0,0,0,0,0,0,10.5,0.0,10.0,0.0,10.0
2,Rahmanullah Gurbaz,2,22.0,3.0,1.0,1.0,16.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders,0,0,0,0,0,0,0,,0.0,27.0,0.0,27.0
2,RK Singh,2,4.0,0.0,0.0,1.0,4.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders,0,0,0,0,0,0,0,,0.0,4.0,0.0,4.0
2,N Rana,2,24.0,3.0,1.0,1.0,17.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders,0,0,0,0,0,0,0,,0.0,29.0,0.0,29.0
2,Mandeep Singh,2,2.0,0.0,0.0,1.0,4.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders,0,0,0,0,0,0,0,,0.0,2.0,0.0,2.0
2,AS Roy,2,4.0,1.0,0.0,1.0,5.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders,0,0,0,0,0,0,0,,0.0,5.0,0.0,5.0
2,TG Southee,2,,,,,,1.0,54.0,24.0,2.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders,0,0,0,0,0,0,0,13.5,0.0,0.0,50.0,50.0
2,UT Yadav,2,,,,,,1.0,27.0,24.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders,0,0,0,0,0,0,0,6.75,0.0,0.0,25.0,25.0
1,A Badoni,3,18.0,1.0,2.0,1.0,7.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants,0,0,0,0,0,0,0,,0.0,23.0,0.0,23.0
1,JD Unadkat,3,,,,,,2.0,33.0,18.0,0.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants,0,0,0,0,0,0,0,11.0,0.0,0.0,0.0,0.0
1,Avesh Khan,3,,,,,,2.0,29.0,24.0,2.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants,0,0,0,0,0,0,0,7.25,0.0,0.0,50.0,50.0
1,N Pooran,3,36.0,2.0,3.0,1.0,21.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants,4,0,0,0,0,0,0,,0.0,48.0,0.0,48.0
1,MP Stoinis,3,12.0,0.0,1.0,1.0,10.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants,0,0,0,0,0,0,0,,0.0,14.0,0.0,14.0
1,KR Mayers,3,73.0,2.0,7.0,1.0,38.0,2.0,6.0,6.0,0.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants,4,8,0,0,0,0,0,6.0,0.0,101.0,0.0,101.0
1,KL Rahul,3,8.0,0.0,1.0,1.0,12.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants,0,0,0,0,0,0,0,,0.0,10.0,0.0,10.0
1,KH Pandya,3,15.0,0.0,1.0,0.0,13.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants,0,0,0,0,0,0,0,,0.0,17.0,0.0,17.0
1,K Gowtham,3,6.0,0.0,1.0,0.0,1.0,2.0,22.0,24.0,0.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants,0,0,0,0,0,0,0,5.5,0.5,8.0,0.5,8.5
1,DJ Hooda,3,17.0,0.0,0.0,1.0,18.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants,0,0,0,0,0,0,0,,0.0,17.0,0.0,17.0
1,MA Wood,3,,,,,,2.0,12.0,24.0,5.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants,0,0,0,0,4,8,16,3.0,0.0,0.0,153.0,153.0
1,Ravi Bishnoi,3,,,,,,2.0,31.0,24.0,2.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants,0,0,0,0,0,0,0,7.75,0.0,0.0,50.0,50.0
2,RR Rossouw,3,30.0,3.0,1.0,1.0,20.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals,4,0,0,0,0,0,0,,0.0,39.0,0.0,39.0
2,R Powell,3,1.0,0.0,0.0,1.0,3.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals,0,0,0,0,0,0,0,,0.0,1.0,0.0,1.0
2,PP Shaw,3,12.0,2.0,0.0,1.0,9.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals,0,0,0,0,0,0,0,,0.0,14.0,0.0,14.0
2,Mukesh Kumar,3,0.0,0.0,0.0,0.0,1.0,1.0,33.0,24.0,0.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals,0,0,0,-2,0,0,0,8.25,0.0,-2.0,0.0,-2.0
2,MR Marsh,3,0.0,0.0,0.0,1.0,1.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals,0,0,0,-2,0,0,0,,0.0,-2.0,0.0,-2.0
2,Kuldeep Yadav,3,6.0,0.0,0.0,0.0,10.0,1.0,35.0,24.0,1.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals,0,0,0,0,0,0,0,8.75,0.0,6.0,25.0,31.0
2,DA Warner,3,56.0,7.0,0.0,1.0,48.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals,4,8,0,0,0,0,0,,0.0,75.0,0.0,75.0
2,C Sakariya,3,4.0,1.0,0.0,1.0,4.0,1.0,50.0,24.0,2.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals,0,0,0,0,0,0,0,12.5,0.0,5.0,50.0,55.0
2,Aman Hakim Khan,3,4.0,0.0,0.0,1.0,5.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals,0,0,0,0,0,0,0,,0.0,4.0,0.0,4.0
2,KK Ahmed,3,,,,,,1.0,29.0,24.0,2.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals,0,0,0,0,0,0,0,7.25,0.0,0.0,50.0,50.0
2,SN Khan,3,4.0,1.0,0.0,1.0,8.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals,0,0,0,0,0,0,0,,0.0,5.0,0.0,5.0
2,AR Patel,3,16.0,1.0,1.0,1.0,11.0,1.0,38.0,24.0,1.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals,0,0,0,0,0,0,0,9.5,0.0,19.0,25.0,44.0
1,D Padikkal,4,2.0,0.0,0.0,1.0,5.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals,0,0,0,0,0,0,0,,0.0,2.0,0.0,2.0
1,NA Saini,4,,,,,,2.0,31.0,12.0,0.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals,0,0,0,0,0,0,0,15.5,0.0,0.0,0.0,0.0
1,KM Asif,4,,,,,,2.0,14.0,18.0,0.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals,0,0,0,0,0,0,0,4.666666666666667,0.0,0.0,0.0,0.0
1,JO Holder,4,,,,,,2.0,16.0,18.0,1.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals,0,0,0,0,0,0,0,5.333333333333333,0.6666666666666666,0.0,25.666666666666668,25.666666666666668
1,TA Boult,4,,,,,,2.0,21.0,24.0,2.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals,0,0,0,0,0,0,0,5.25,0.5,0.0,50.5,50.5
1,YBK Jaiswal,4,54.0,9.0,0.0,1.0,37.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals,4,8,0,0,0,0,0,,0.0,75.0,0.0,75.0
1,YS Chahal,4,,,,,,2.0,17.0,24.0,4.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals,0,0,0,0,4,8,0,4.25,0.0,0.0,112.0,112.0
1,JC Buttler,4,54.0,7.0,3.0,1.0,22.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals,4,8,0,0,0,0,0,,0.0,79.0,0.0,79.0
1,R Ashwin,4,1.0,0.0,0.0,0.0,2.0,2.0,25.0,24.0,1.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals,0,0,0,0,0,0,0,6.25,0.0,1.0,25.0,26.0
1,SO Hetmyer,4,22.0,1.0,1.0,0.0,16.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals,0,0,0,0,0,0,0,,0.0,25.0,0.0,25.0
1,R Parag,4,7.0,1.0,0.0,1.0,6.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals,0,0,0,0,0,0,0,,0.0,8.0,0.0,8.0
1,SV Samson,4,55.0,3.0,4.0,1.0,32.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals,4,8,0,0,0,0,0,,0.0,78.0,0.0,78.0
2,AU Rashid,4,18.0,1.0,1.0,1.0,12.0,1.0,33.0,24.0,0.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad,0,0,0,0,0,0,0,8.25,0.0,21.0,0.0,21.0
2,T Natarajan,4,,,,,,1.0,23.0,18.0,2.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad,0,0,0,0,0,0,0,7.666666666666667,0.0,0.0,50.0,50.0
2,Fazalhaq Farooqi,4,,,,,,1.0,41.0,24.0,2.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad,0,0,0,0,0,0,0,10.25,0.0,0.0,50.0,50.0
2,Washington Sundar,4,1.0,0.0,0.0,1.0,5.0,1.0,32.0,18.0,0.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad,0,0,0,0,0,0,0,10.666666666666666,0.0,1.0,0.0,1.0
2,Umran Malik,4,19.0,1.0,2.0,0.0,7.0,1.0,31.0,18.0,1.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad,0,0,0,0,0,0,0,10.333333333333334,0.0,24.0,25.0,49.0
2,MA Agarwal,4,27.0,3.0,0.0,1.0,23.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad,0,0,0,0,0,0,0,,0.0,30.0,0.0,30.0
2,HC Brook,4,13.0,1.0,0.0,1.0,21.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad,0,0,0,0,0,0,0,,0.0,14.0,0.0,14.0
2,B Kumar,4,6.0,0.0,0.0,1.0,10.0,1.0,35.0,18.0,0.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad,0,0,0,0,0,0,0,11.666666666666666,0.0,6.0,0.0,6.0
2,Abhishek Sharma,4,0.0,0.0,0.0,1.0,3.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad,0,0,0,-2,0,0,0,,0.0,-2.0,0.0,-2.0
2,Abdul Samad,4,32.0,2.0,1.0,0.0,31.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad,4,0,0,0,0,0,0,,0.0,40.0,0.0,40.0
